,t,Z_UM,Y_UM,X_UM,ID_I,ID_J,SL_UM,SUMINT
134,8,6.124220527140865,25.390717598893836,137.47803921135232,11491,11483,5.727048650762356,126
135,8,4.332948466313218,19.212788678212227,103.87912272253914,11493,11464,10.706521499415272,132
136,8,5.441774595152712,12.055542142198703,68.93521403849003,11496,11466,10.376369280978736,113
137,8,7.464719753777139,20.028183926521223,80.06773966500583,11499,11486,6.262560486602842,129
138,8,7.741285521047799,26.190650101596916,97.73345588312323,11501,11487,6.76054697782961,131
139,9,0.8865979176015507,17.63189370991333,136.08045170752817,11404,11405,4.34471340887858,134
140,9,1.9167353496424275,13.801872785220606,99.9129514609424,11408,11406,6.588687959082607,133
141,9,4.341274187626056,22.054740279322925,82.8091176562878,11412,11433,9.811783423354381,156
142,9,2.233759816621906,17.16793551215126,131.48744500707957,11414,11407,10.209721147256024,132
143,9,2.7583702368190677,12.883191258145509,108.39504965264393,11418,11408,10.844934265487245,139
144,9,3.093175256190043,17.5425052191338,77.50900657929256,11422,11410,6.009354426441114,150
145,9,3.1479135728340166,16.558819140514956,80.85711228490786,11423,11409,8.195463010714402,133
146,9,3.448558722776726,17.649744374851817,74.38004726463292,11424,11415,8.3192117636788,128
147,9,6.680759734420709,10.970677853026874,81.53167838553858,11427,11438,5.179259337594037,128
148,9,5.611247918368401,11.579634041939698,121.95587273139007,11441,11411,10.265696534376916,139
149,9,6.115019224226781,11.233579125860537,117.50713416669457,11443,11418,9.558424893094196,135
150,10,8.144585915833936,9.80497940236367,70.1973183557206,11265,11273,7.34153508364606,135
151,10,12.236185023620877,7.014798955752015,83.8872517350596,11269,11285,10.362945360075916,120
152,10,8.638222709877077,8.350518584769793,85.48045855685308,11270,11275,6.224185957128235,126
153,10,4.217627580469737,13.032301143692173,126.53354699409901,11235,11271,9.025423734801178,143
154,10,3.6998860800734055,24.106464713204225,131.48655646466224,11237,11264,7.7487004641065145,129
155,10,5.856120266700132,18.01781356710008,78.55280076756809,11239,11274,8.331136510437904,148
156,10,4.684352247476166,24.134256967203942,68.90440214132798,11245,11266,5.29133041863767,130
