,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
186,3.72231803532336,0.117665476693796,31.5101358417417,30.219370807782102,34.1196613336619,29.0624605703444,11,11.0,0.740244418850272,5.15180514365011,0.407808923818524
323,3.9893127672804,0.30359561869848,8.52492336817183,22.9548729248833,22.9548729248833,8.52492336817183,17,17.0,0.878896274109511,4.98714586265644,0.544408516457712
0,5.21998519561501,0.270941199635223,24.6857234886522,55.5374338700828,55.5410745342935,24.6857234886522,10,16.0,0.62576728965957,4.92461478736509,0.0
408,3.11551041109828,0.0803152388183407,32.2637808655403,43.229292060227394,43.229292060227394,31.590562231989104,11,11.0,0.525780635976728,6.226724618790951,0.500610465403223
339,2.39894826347311,0.101664333310716,22.139457467167002,23.355880242268,23.355880242268,20.5555113905898,7,7.0,0.399888851305785,5.55161284949389,0.188041709848322
193,3.08605751542937,0.103863739931098,19.3392262900702,32.9192370510587,32.9192370510587,19.3392262900702,10,10.0,0.562182468870951,5.74182944288691,0.262146586878023
128,6.1778167605623,0.187928216785921,32.7868723102711,36.173073295391795,38.4728605598547,24.963315342237703,17,17.0,0.76599891873559,5.50291614694531,0.425343412340267
428,3.32478646568108,0.0851170305106054,26.832815729997503,29.6141857899217,30.0289691588703,26.2678510731274,11,11.0,0.486572122014997,7.2448757498436205,0.732599722220089
237,3.25710077314922,0.0799594910813552,27.0901375370189,26.286128858772397,27.0901375370189,23.8888187450981,9,9.0,0.61989853503573,6.5078828049987605,0.503842898225759
125,4.3096928857707795,0.227322307459549,18.1483483846125,25.738027797049998,25.738027797049998,17.7805975444898,12,12.0,0.76135219612825,6.047845604176559,0.312941672677373
341,4.14194136849006,0.041969633583292094,37.1244231065485,29.112178563841,37.1244231065485,29.112178563841,11,11.0,0.623301433987632,6.04301939357488,0.290250668097997
377,3.4904932577974903,0.045164047440260896,48.7436346515802,32.633199576428,48.7436346515802,32.6119213611344,12,12.0,0.69234947084324,5.39453943569068,0.346863676337899
