Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR,POSITION_Z_UM,POSITION_X_UM,POSITION_Y_UM
Cent_16b,921333,189,68.84519958496094,14.749500132656298,51.06264230081158,29.96196168750864,58.0,58,2.0,1,-10921639,53.47945205479452,60.0,0.0,69.0,3904.0,20.40159960302752,6.660308740360315,6.660308740360315,0.46893942527119953,14.98098084375432,7.980825961049164,27.683326023859546
Cent_16b,923350,189,65.248291015625,14.79112135219577,51.54312356585731,29.421601018885035,59.0,59,2.0,1,-10921639,52.24657534246575,60.0,0.0,65.0,3814.0,19.94908854915836,6.612330184310702,6.612330184310702,0.41598508994356614,14.710800509442517,8.003346840159887,27.943816255255307
Cent_16b,922344,189,71.11155700683594,14.802881760422492,47.100821156505894,29.72678459413882,60.0,60,2.0,1,-10921639,53.821917808219176,61.0,0.0,71.0,3929.0,20.63730606999092,6.655162290508369,6.655162290508369,0.4657041386402448,14.86339229706941,8.009710294544389,25.535446841659617
Cent_16b,925335,189,68.92708587646484,14.784969859450763,46.36087614072695,29.33141633478052,61.0,61,2.0,1,-10921639,52.16438356164384,58.0,0.0,67.0,3808.0,19.913014796742395,6.659292121478776,6.659292121478776,0.44049213583779595,14.66570816739026,8.000018321053679,25.13428978850781
Cent_16b,926388,189,63.203765869140625,14.862453859271586,46.46735351453767,30.016401358332033,62.0,62,2.0,1,-10921639,51.945205479452056,59.0,0.0,67.0,3792.0,19.815741785929596,6.626845589801889,6.626845589801889,0.4306105675626667,15.008200679166016,8.041944237984708,25.192015901387006
Cent_16b,924300,189,71.5463638305664,16.706304895114684,48.97237178388061,27.022365911539442,63.0,63,2.0,1,-10921639,52.45205479452055,60.0,0.0,68.0,3829.0,20.067276496748526,6.6498698512924,6.6498698512924,0.4307317556261062,13.511182955769721,9.039635961962734,26.55009755014733
Cent_16b,927375,189,69.38294219970703,16.81580949712531,43.955588262384666,27.803234222951627,64.0,64,2.0,1,-10921639,53.28767123287671,60.0,0.0,67.0,3890.0,20.324095888087832,6.637802685187706,6.637802685187706,0.4703972348018411,13.901617111475813,9.098887947638223,23.83027641361968
Cent_16b,928754,189,64.12908935546875,16.79341810399421,46.59006279362382,28.270593593344,65.0,65,2.0,1,-10921639,52.54794520547945,60.0,0.0,67.0,3836.0,20.01321861496269,6.638534481732198,6.638534481732198,0.4280883494948991,14.135296796672,9.086772159984573,25.258542050956056
Cent_16b,931770,189,65.14466857910156,16.78000918587519,43.48381359505407,24.008296859380714,67.0,67,2.0,1,-10921639,52.23287671232877,59.0,0.0,66.0,3813.0,19.907090129974357,6.670226389638283,6.670226389638283,0.4204150528303848,12.004148429690357,9.07951671126622,23.574506415495176
Cent_16b,933199,189,67.25643157958984,16.758825066310386,41.96825575613899,19.1884324450928,68.0,68,2.0,1,-10921639,53.821917808219176,61.0,0.0,68.0,3929.0,20.493455910602716,6.6511851953494645,6.6511851953494645,0.4147904225559488,9.5942162225464,9.06805416881636,22.752855206857358
Cent_16b,934729,189,66.28543853759766,17.790393079189037,44.415798081051655,20.046505095809195,69.0,69,2.0,1,-10921639,53.602739726027394,61.0,0.0,68.0,3913.0,20.419720673644147,6.64152296669787,6.64152296669787,0.423998676064019,10.023252547904598,9.626226629152287,24.079776593702153
Cent_16b,937849,189,68.62435150146484,17.775089155261494,47.68663245940885,20.185881050684333,70.0,70,2.0,1,-10921639,52.43835616438356,59.0,0.0,70.0,3828.0,20.081767782251486,6.616610866599424,6.616610866599424,0.425211844276966,10.092940525342167,9.617945809308335,25.853041164162327
Cent_16b,936334,189,62.66588592529297,17.797542596266187,44.81051971210748,21.066855978671004,71.0,71,2.0,1,-10921639,52.41095890410959,59.0,0.0,69.0,3826.0,19.984602139618474,6.643798370978567,6.643798370978567,0.4125863717936689,10.533427989335502,9.63009517052556,24.29377271902633
Cent_16b,939316,189,61.7924690246582,17.893657964106957,44.00452912942561,17.56853948857373,72.0,72,2.0,1,-10921639,52.80821917808219,60.0,0.0,68.0,3855.0,20.27084491897344,6.650743019346716,6.650743019346716,0.4056961427379453,8.784269744286865,9.682102358296016,23.85680943104959
Cent_16b,941037,189,66.5069580078125,17.792287737369122,42.03897289736923,23.241117569502745,73.0,73,2.0,1,-10921639,53.602739726027394,61.0,0.0,69.0,3913.0,20.40134780816331,6.610641322450207,6.610641322450207,0.4418863632508535,11.620558784751372,9.627251812179164,22.791194109584314
Cent_16b,942448,189,66.02459716796875,20.828237762289497,41.80656181065995,20.39152645818731,74.0,74,2.0,1,-10921639,53.397260273972606,61.0,0.0,68.0,3898.0,20.376143271283507,6.652251212581856,6.652251212581856,0.4245409404541579,10.195763229093656,11.269977908481712,22.665193738373006
Cent_16b,944010,189,68.20834350585938,21.689820130307396,43.84162278276127,20.144087346737557,75.0,75,2.0,1,-10921639,53.205479452054796,60.0,0.0,71.0,3884.0,20.26282783277847,6.659191266629035,6.659191266629035,0.43235200582801975,10.072043673368778,11.73617261802548,23.76849066604136
Cent_16b,947130,189,65.9755630493164,21.75924540730851,43.01751957025902,19.615974962466534,76.0,76,2.0,1,-10921639,53.24657534246575,60.0,0.0,66.0,3887.0,20.25585019878195,6.628006054069954,6.628006054069954,0.4374149502070722,9.807987481233267,11.773738030280825,23.321707717078155
Cent_16b,945407,189,68.4078140258789,21.78432174861215,43.20693503416876,15.808764148674808,77.0,77,2.0,1,-10921639,54.082191780821915,62.0,0.0,68.0,3948.0,20.632198019827552,6.655240820860133,6.655240820860133,0.43437262002233096,7.904382074337404,11.787306619987884,23.4243982517842
Cent_17a,875254,140,68.43509674072266,14.814917230027735,58.912999699424496,30.450440836379915,27.0,27,2.0,1,-10921639,53.26027397260274,60.0,0.0,68.0,3888.0,20.322420156935234,6.637268172095315,6.637268172095315,0.4478395286206088,15.225220418189958,8.016222582243296,31.93935339489446
Cent_17a,878269,140,71.41184997558594,14.883994000243902,55.15809625251265,27.309931905154677,28.0,28,2.0,1,-10921639,54.31506849315068,61.0,0.0,71.0,3965.0,20.733679466784345,6.648026421317122,6.648026421317122,0.4475498052481258,13.654965952577339,8.05359942051499,29.90365348542615
Cent_17a,881467,140,73.15511322021484,14.76029758906089,54.7221401653233,27.81232535351768,29.0,29,2.0,1,-10921639,54.06849315068493,62.0,0.0,70.0,3947.0,20.69979117388177,6.647329952854487,6.647329952854487,0.45033014225252244,13.90616267675884,7.986668370596066,29.66730233025773
Cent_17a,882964,140,64.43597412109375,14.811698252153537,53.55533612849489,26.728529639554797,30.0,30,2.0,1,-10921639,53.04109589041096,60.0,0.0,68.0,3872.0,20.21924163057748,6.65254206017892,6.65254206017892,0.41214719299938163,13.364264819777398,8.014480821373072,29.03472604548206
Cent_17a,884771,140,65.31422424316406,14.775503099736591,53.69989818117517,31.753408252404846,31.0,31,2.0,1,-10921639,53.52054794520548,60.0,0.0,71.0,3907.0,20.447839867603168,6.659264421632945,6.659264421632945,0.4376559789063869,15.876704126202423,7.994895939887242,29.11309955407276
Cent_17a,889529,140,62.637718200683594,14.820471071536057,53.217347472457064,32.25617560636808,32.0,32,2.0,1,-10921639,53.178082191780824,60.0,0.0,68.0,3882.0,20.298017463230128,6.647160496477619,6.647160496477619,0.4115380668204518,16.12808780318404,8.019227717474628,28.851487385360617
Cent_17a,887858,140,71.32792663574219,14.784391271218992,48.337676607962365,29.743318872800625,33.0,33,2.0,1,-10921639,54.95890410958904,62.0,0.0,71.0,4012.0,20.957919715046717,6.623139542100571,6.623139542100571,0.43444235541927406,14.871659436400313,7.9997052520046035,26.206001109207055
Cent_17a,890848,140,67.3196029663086,14.789596525116629,48.99762187096139,26.269900758881647,34.0,34,2.0,1,-10921639,55.23287671232877,62.0,0.0,68.0,4032.0,20.9950526896915,6.65032262820952,6.65032262820952,0.4442490664033509,13.134950379440824,8.002521769518179,26.563786743680836
Cent_17a,886236,140,67.13345336914062,14.848842690424863,50.91716330611014,28.834980309719672,35.0,35,2.0,1,-10921639,53.89041095890411,61.0,0.0,68.0,3934.0,20.570719241352375,6.6413447782955,6.6413447782955,0.41403677895744584,14.417490154859836,8.034579353160467,27.604455400278844
Cent_17a,892562,140,69.86186218261719,14.829025515893406,47.693242077693505,30.648243430140102,36.0,36,2.0,1,-10921639,55.54794520547945,63.0,0.0,69.0,4055.0,21.14437217998786,6.6208845009806625,6.6208845009806625,0.46107984780959105,15.324121715070051,8.023856452753481,25.856624531759905
Cent_17a,894120,140,65.32948303222656,15.0,46.0,32.0,37.0,37,2.0,1,-10921639,54.04109589041096,61.0,0.0,67.0,3945.0,20.558479161869215,6.628170837115932,6.628170837115932,0.41450611710305324,16.0,8.116369255842567,24.938642806529803
Cent_17a,895595,140,65.8681869506836,14.858183915373331,50.223185635435996,29.172689858979016,38.0,38,2.0,1,-10921639,54.16438356164384,61.0,0.0,72.0,3954.0,20.709641942978948,6.649150471311758,6.649150471311758,0.4284079750806084,14.586344929489508,8.039633808559378,27.228219286264714
Cent_17a,897242,140,62.62977981567383,14.902220081538559,50.08465116733999,32.3582898606335,39.0,39,2.0,1,-10921639,53.36986301369863,60.0,0.0,69.0,3896.0,20.407315443048482,6.663859441107884,6.663859441107884,0.4235045178061331,16.17914493031675,8.063461394239953,27.153113598955173
Cent_17a,898251,140,64.44415283203125,14.845065832598946,51.99471268736998,28.989916196112066,40.0,40,2.0,1,-10921639,53.6986301369863,61.0,0.0,69.0,3920.0,20.46791861772606,6.604929906740309,6.604929906740309,0.4268920225420591,14.494958098056033,8.032535728311004,28.18864277257529
Cent_17a,899669,140,70.26104736328125,15.839624839652082,53.59526207829123,29.282100465533812,41.0,41,2.0,1,-10921639,53.41095890410959,60.0,0.0,69.0,3899.0,20.391879931072758,6.654974651500813,6.654974651500813,0.4473348164064376,14.641050232766906,8.570682938175494,29.056371675931675
Cent_17a,901132,140,63.659400939941406,15.79314281060001,55.49666275324572,26.447389309149738,42.0,42,2.0,1,-10921639,52.36986301369863,59.0,0.0,66.0,3823.0,19.918937701284193,6.6465295668000675,6.6465295668000675,0.39216054452308763,13.223694654574869,8.545531917405667,30.0872054208183
Cent_17a,902631,140,62.702545166015625,15.830599278812825,57.167707627978736,25.87673773806003,43.0,43,2.0,1,-10921639,52.87671232876713,60.0,0.0,67.0,3860.0,20.176268516832295,6.616729366195524,6.616729366195524,0.44542933851515404,12.938368869030015,8.565799285874663,30.99315305657154
Cent_17a,905886,140,66.01629638671875,15.748268094542073,55.062330380165996,30.095517506313957,44.0,44,2.0,1,-10921639,52.794520547945204,60.0,0.0,69.0,3854.0,20.120442136812546,6.656584052222053,6.656584052222053,0.43225282483381805,15.047758753156979,8.52125059968718,29.85173455317596
Cent_17a,907415,140,66.563232421875,15.748985967303543,57.923022894338104,28.849660482414013,45.0,45,2.0,1,-10921639,52.28767123287671,59.0,0.0,69.0,3817.0,20.001027370873004,6.626882618083463,6.626882618083463,0.4254006704698868,14.424830241207006,8.521639034381234,31.402643005137957
Cent_17a,904350,140,68.73915100097656,15.822333000343942,58.006380580845125,29.73922657053661,46.0,46,2.0,1,-10921639,52.76712328767123,60.0,0.0,68.0,3852.0,20.077295460257535,6.642078561974461,6.642078561974461,0.4649682585152984,14.869613285268304,8.561326474646325,31.447834908811377
Cent_17a,909023,140,68.9983139038086,15.820782320504932,54.66696478757761,29.184764709747736,47.0,47,2.0,1,-10921639,53.42465753424658,61.0,0.0,66.0,3900.0,20.32644542367514,6.657247389660816,6.657247389660816,0.43698982074322706,14.592382354873868,8.560487415301592,29.6373893077074
Cent_17a,910779,140,69.15765380859375,16.0,56.0,34.0,48.0,48,2.0,1,-10921639,53.54794520547945,61.0,0.0,70.0,3909.0,20.45594255948515,6.639337045383181,6.639337045383181,0.47421635937175816,17.0,8.657460539565406,30.360086894905848
Cent_17a,914334,140,65.86978149414062,15.813522422917423,58.88948570372903,34.332630731683956,49.0,49,2.0,1,-10921639,52.32876712328767,59.0,0.0,67.0,3820.0,19.92559409020953,6.619675436951983,6.619675436951983,0.4295624293587698,17.166315365841978,8.55655914799627,31.92660541359873
Cent_17a,915412,140,67.60518646240234,15.833447110375287,56.57794281176955,33.711928353100035,50.0,50,2.0,1,-10921639,52.68493150684932,59.0,0.0,68.0,3846.0,20.1127907839823,6.636805910942708,6.636805910942708,0.42341713934598857,16.855964176550017,8.567340222710621,30.673415358934594
Cent_17a,912901,140,66.21595764160156,16.0,55.0,37.0,51.0,51,2.0,1,-10921639,52.50684931506849,59.0,0.0,66.0,3833.0,20.00216883217587,6.6205677181561615,6.6205677181561615,0.5126245382614507,18.5,8.657460539565406,29.81794248606824
Cent_17a,911912,140,62.046295166015625,16.0,56.0,37.0,52.0,52,2.0,1,-10921639,51.02739726027397,57.0,0.0,68.0,3725.0,19.433628215844287,6.594075667967269,6.594075667967269,0.4685341942876347,18.5,8.657460539565406,30.360086894905848
Cent_17a,916361,140,68.23675537109375,15.835176413787677,57.50207615999816,32.095590061058004,53.0,53,2.0,1,-10921639,52.75342465753425,59.0,0.0,67.0,3851.0,20.17684372817142,6.649300205434967,6.649300205434967,0.42562852533566853,16.047795030529002,8.568275933713979,31.17442908669711
Cent_17a,917371,140,62.5720100402832,14.736243443178953,57.743055425087825,31.228322280859146,54.0,54,2.0,1,-10921639,52.12328767123287,59.0,0.0,65.0,3805.0,19.8381963264189,6.657271881116454,6.657271881116454,0.4170055676667892,15.614161140429573,7.973652881921952,31.305074647911265
Cent_17a,918308,140,68.87156677246094,15.0,55.0,29.0,55.0,55,2.0,1,-10921639,53.36986301369863,61.0,0.0,67.0,3896.0,20.294708430000956,6.642995353353914,6.642995353353914,0.47592820000219205,14.5,8.116369255842567,29.81794248606824
