,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
1247,2.15530306384387,0.0175220390197487,68.0773320725198,63.4291792969871,70.2219158729101,63.4291792969871,7,7.0,0.0902248516435367,10.775336438285901,0.0624938127039927
1502,2.5207177334294797,0.148899930199328,33.0105241471019,38.746777846744095,38.746777846744095,29.9409518345405,5,5.0,0.147242308789633,7.53667235175013,0.661010722994823
2411,4.004946549189831,0.100900830352315,50.147844629769494,47.4166441352954,50.147844629769494,47.4166441352954,5,5.0,0.07007800334492,9.21114719122503,0.353102587957576
2547,3.16945611860774,0.0728458136551576,29.427877939124304,37.8359047230334,37.8359047230334,29.427877939124304,7,7.0,0.0778375660636317,8.30432024256702,0.576257952941208
2364,3.6873675222142,0.104779983313369,56.24300059916389,58.3480122266514,65.60238392420901,56.24300059916389,7,7.0,0.212854236180941,9.46713906216549,0.509787943021044
808,4.29278402910547,0.111667030522016,38.8143579814636,30.074418260648304,38.8143579814636,30.074418260648304,8,8.0,0.116144649894735,9.64934360969966,0.205988570789147
3315,3.43237668035715,0.271364592716253,61.400325732035,45.8625540337761,63.17949365542629,44.1636107984755,10,13.0,0.120639617713607,10.081691075778698,0.469337407382565
1684,3.27279246794452,0.0589904253287085,78.3473117653977,77.7620255606925,85.9087098793936,77.7620255606925,7,7.0,0.201620563166348,9.1557383453121,0.562178123979358
2142,2.09105175815271,0.0610527688246606,43.472308621089894,39.4359216355012,43.472308621089894,38.0865693425047,6,7.0,0.120969740303881,11.151633132174899,0.165520398341603
52,5.672732275358849,0.142445257611952,52.5326430142321,42.1448575208203,52.5326430142321,42.1448575208203,7,7.0,0.0936496761580089,9.281404630728401,0.452622754144535
49,2.77879292463901,0.0959763314803923,81.180636742033,69.2964645562817,81.180636742033,66.4830805543787,5,5.0,0.0902136004286175,8.3251392794858,0.580179249107875
1141,2.5317260838558195,0.0564114987762197,66.3544464550776,65.9735989372476,66.3544464550776,58.0560499560083,6,6.0,0.158147021985588,8.81474938905204,0.396767110068545
2990,2.83575648792814,0.0879421194220434,79.1169612750545,89.18315954022471,89.18315954022471,79.1169612750545,7,7.0,0.0662601414233741,9.334065265009919,0.381302801304119
2356,1.78037616207156,0.2183423367013,11.6309259425934,18.0189655728244,18.0189655728244,11.326386351731601,3,5.0,0.100676777234335,10.4836434042529,0.275652616045912
454,2.97028321988785,0.050802687848666,64.8813900292733,66.9180780605345,69.51189294875961,64.8813900292733,5,5.0,0.0678119473626324,8.52501157653168,0.178374321930697
2317,1.26612015573416,0.0337658217297644,60.29925372672529,64.3549150321779,67.2166953736936,60.29925372672529,7,7.0,0.121150144164817,8.81874522866695,0.463834948973728
2332,5.513079195292491,0.0373872484534093,74.02897527742371,71.50636057535509,74.02897527742371,57.973693107934196,12,12.0,0.150585819025503,11.834973384094699,0.426809729466282
3640,4.56301965892679,0.0617109081767336,70.69619425795179,77.3533948142861,77.7959698114411,70.69619425795179,5,8.0,0.0714945992635949,10.582301792012698,0.168156480269418
918,3.31173798805316,0.0595201247195385,53.6703336720966,49.8276413121932,53.6703336720966,49.4774118079179,3,6.0,0.0790607828149925,7.36078385390216,0.33401396590024
3585,8.01920174131811,0.0575208330137673,63.587045659430196,49.648766349225596,63.587045659430196,49.648766349225596,12,12.0,0.119411749083622,9.21402488614185,0.485755610590726
93,1.50554530541816,0.037127714367975295,61.8465843842649,62.60990336999411,66.1891229734917,61.8465843842649,6,6.0,0.057288793234128,7.401019885919629,0.74628138456577
