,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,Unnamed: 14,Unnamed: 15,True_Label
1571,4.182559773,0.143984679,30.401875399999994,20.0,49.51813336,20.0,1,11,103.0219436,20.09255299,0.18403258600000003,7056,7350,0,,,0
1572,6.986865317,0.300164405,15.52206117,24.02121275,52.070177799999996,15.10691249,2,13,103.0560345,21.12141353,0.157420264,7056,7526,0,,,0
1573,11.21566421,0.137180589,24.9991764,47.71530407,62.0,18.94477162,1,28,101.537037,20.14820589,0.181822627,7064,7178,0,,,0
1574,10.19822856,0.307328172,52.00773713,38.95293552,52.00773713,12.03573161,5,26,102.6715686,21.59838966,0.155870776,7064,7258,0,,,0
1575,13.07314402,0.609479412,9.478449267,29.50373367,37.33482061,9.478449267,10,26,102.5666667,21.63332557,0.159421103,7064,7268,0,,,0
1576,8.881106811,0.6760980670000001,30.84225297,31.554358500000003,47.09971682,18.64786343,2,18,101.6376812,21.3137695,0.165692318,7064,7458,0,,,0
1577,7.884818592999999,0.363589867,45.67078146,22.36067977,45.67078146,20.63088462,4,13,102.70833329999999,23.47057498,0.153915514,7064,7490,0,,,0
1578,7.842254092999999,0.882309467,18.05259112,25.12727527,33.500948,8.95753057,7,12,103.0,20.39851463,0.17479681,7064,7910,0,,,0
1579,6.360165433,0.362759712,22.49325868,12.42989483,30.10399671,5.95708009,11,14,102.2875458,21.71876003,0.145917057,7066,7322,0,,,0
1580,4.662201088,0.172930625,32.788120299999996,42.0,53.97833313,11.70797148,4,11,101.9498834,19.29752591,0.191163152,7066,7350,0,,,0
1581,7.071618467,0.477503794,47.49138488,34.55824698,50.69147426,19.21281362,1,28,102.5089744,20.88167088,0.164983521,7066,7369,0,,,0
1582,6.054470436,0.511433812,24.192712699999998,33.427530100000006,33.427530100000006,8.208116573,9,18,102.6236802,22.1160518,0.144888079,7066,7525,0,,,0
1583,5.305749821,0.574377148,17.88741342,15.0,23.1355322,9.055385138,10,14,101.9304029,17.70089333,0.19411545300000002,7066,7920,0,,,0
1584,4.6868234289999995,0.507664109,16.62769085,10.82624222,23.0,10.01824226,9,17,102.3428453,20.06578533,0.178666105,7066,7922,0,,,0
1585,4.303179801000001,0.49606710299999995,18.65922352,29.92436845,29.92436845,8.030608573,6,12,102.1589744,21.17213881,0.156488588,7066,8080,0,,,0
1586,4.214565185,0.234189907,15.09860328,24.39134796,25.52867271,10.32294494,2,10,102.4589744,20.63363649,0.145255673,7066,8133,0,,,0
1587,6.712347599,0.34828886,41.76122604,33.87878592,41.76122604,13.28610142,8,21,105.1108696,20.08302478,0.175318964,7067,6691,0,,,0
1588,4.133049617,0.081262377,58.07421303,22.57179064,58.07421303,12.45168887,1,11,106.01666670000002,20.73310839,0.158841644,7067,6904,0,,,0
1589,4.767578834,0.34215068299999996,22.53256467,35.32550167,35.32550167,9.824549197,13,21,104.95,21.05782258,0.157383112,7067,6938,0,,,0
1590,5.338826255,0.240600845,53.57528652,19.88261805,71.38967803,19.88261805,1,15,104.1833333,20.28754581,0.16983955399999998,7067,7072,0,,,0
1591,8.356112641000001,0.28525904399999996,48.18080342,27.462462699999996,58.51872867,22.14127855,1,15,104.88571429999999,17.97154041,0.17618405399999998,7067,7211,0,,,0
1592,5.385911027000001,0.304645819,34.94164522,28.46136061,39.20474474,13.15477393,1,11,103.725,18.03041494,0.185748391,7067,7288,0,,,0
1593,4.857919604,0.22954283,26.99150031,20.45491945,28.92192584,15.82070673,3,10,106.7590909,20.84312522,0.156094328,7067,7306,0,,,0
