Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR
Cent_1b,285115,16,20.2899189,43.21703488,26.12428266,9.143991895,426.062602,14,7.5,1,-10921639,71.0205846,70,23,170,172509,16.76898676,28.5,28.5,0.38552603
Cent_1b,285012,16,19.44339371,43.13392241,26.05626768,9.352983825,456.495645,15,7.5,1,-10921639,70.71346233,70,26,150,171763,16.49297901,22.82672616,22.82672616,0.373199167
Cent_1b,285332,16,17.66209793,44.0577319,26.03626898,9.973092436,486.928688,16,7.5,1,-10921639,70.14903252,69,24,142,170392,15.78380567,7.152309871,7.152309871,0.337420098
Cent_1b,285541,16,15.49382877,45.78579781,26.60394728,9.672386293,517.361731,17,7.5,1,-10921639,70.21819679,70,24,155,170560,15.43077697,25.71692557,25.71692557,0.316350248
Cent_1b,285225,16,15.99848366,45.08187018,26.70368647,10.0567672,547.794774,18,7.5,1,-10921639,69.38163853,68,17,147,168528,15.86769875,26.34257778,26.34257778,0.2840157
Cent_1b,285641,16,16.81296921,44.54149535,26.44732965,9.67479255,578.227817,19,7.5,1,-10921639,69.69905311,68,24,151,169299,16.17436151,25.35764814,25.35764814,0.292200976
Cent_1b,285441,16,16.18480492,44.05992959,26.1427479,9.751795126,608.66086,20,7.5,1,-10921639,69.59942363,69,27,154,169057,15.5358866,7.216324133,7.216324133,0.296309039
Cent_1b,285845,16,13.38219738,44.25945975,26.50396793,10.12714693,639.093903,21,7.5,1,-10921639,69.56895842,69,22,150,168983,15.08536527,28.5,28.5,0.282368044
Cent_1b,285948,16,15.19071674,43.88580945,26.20210831,10.11657726,669.526946,22,7.5,1,-10921639,70.19431865,70,27,163,170502,15.20494643,26.29501102,26.29501102,0.308025014
Cent_1b,285751,16,15.24624252,43.77676797,25.63722605,10.51368202,699.959989,23,7.5,1,-10921639,69.5697818,69,29,143,168985,15.23962123,7.383078413,7.383078413,0.272715315
Cent_1b,286351,16,11.73377991,43.8534603,25.41823685,10.17442913,730.393032,24,7.5,1,-10921639,68.27583368,68,11,130,165842,14.31711904,25.72623521,25.72623521,0.197095077
Cent_1b,286052,16,14.22222996,43.36802828,25.52157959,9.946229273,760.826075,25,7.5,1,-10921639,69.48126801,69,21,146,168770,14.98544596,28.5,28.5,0.306915658
Cent_1b,286759,16,12.00724411,44.00562242,24.71617554,10.06904386,791.259118,26,7.5,1,-10921639,68.70564018,68,15,137,166886,14.96000341,28.5,28.5,0.162706154
Cent_1b,286455,16,11.06190205,44.72299996,24.95985836,9.922129406,821.692161,27,7.5,1,-10921639,68.12803623,68,19,139,165483,14.71096013,26.29780909,26.29780909,0.189626765
Cent_1b,286156,16,14.18443298,44.61522805,24.73343891,9.766878559,852.125204,28,7.5,1,-10921639,69.49979415,69,21,143,168815,14.87503201,28.5,28.5,0.268435008
Cent_1b,286659,16,15.21472263,45.13150474,24.91950557,10.21632666,882.558247,29,7.5,1,-10921639,69.67517497,69,24,149,169241,15.63476664,25.53827001,25.53827001,0.278083304
Cent_1b,286563,16,14.36841011,43.87688288,23.90156879,10.39576076,912.99129,30,7.5,1,-10921639,68.65706052,68,18,147,166768,15.02925937,7.372123135,7.372123135,0.270491222
